Year,Close,Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
2018,313.75,0.00514,0.00288,0.00128,0.00144,-0.02028,25413745.00,-0.00962,0
2018,313.30,-0.00962,0.00514,0.00288,0.00128,0.00144,19218118.00,0.00560,1
2018,312.90,0.00560,-0.00962,0.00514,0.00288,0.00128,13618791.00,-0.00368,0
2018,312.00,-0.00368,0.00560,-0.00962,0.00514,0.00288,11309613.00,-0.02229,0
2018,310.40,-0.02229,-0.00368,0.00560,-0.00962,0.00514,5445848.00,0.00000,0
2018,313.40,0.00000,-0.02229,-0.00368,0.00560,-0.00962,5278766.00,0.02101,1
2018,311.65,0.02101,0.00000,-0.02229,-0.00368,0.00560,6609740.00,0.01156,1
2018,312.80,0.01156,0.02101,0.00000,-0.02229,-0.00368,10349504.00,-0.00210,0
2018,319.85,-0.00210,0.01156,0.02101,0.00000,-0.02229,24973007.00,-0.00177,0
2018,319.85,-0.00177,-0.00210,0.01156,0.02101,0.00000,18084699.00,0.00113,1
2018,313.20,0.00113,-0.00177,-0.00210,0.01156,0.02101,9112998.00,0.01264,1
2018,309.60,0.01264,0.00113,-0.00177,-0.00210,0.01156,11184441.00,0.03098,1
2018,310.25,0.03098,0.01264,0.00113,-0.00177,-0.00210,10139205.00,-0.03179,0
2018,310.80,-0.03179,0.03098,0.01264,0.00113,-0.00177,7609714.00,-0.00114,0
2018,310.45,-0.00114,-0.03179,0.03098,0.01264,0.00113,7188478.00,0.01691,1
2018,306.55,0.01691,-0.00114,-0.03179,0.03098,0.01264,9635849.00,-0.00413,0
2018,297.20,-0.00413,0.01691,-0.00114,-0.03179,0.03098,26006624.00,0.01194,1
2018,306.80,0.01194,-0.00413,0.01691,-0.00114,-0.03179,19423600.00,-0.01425,0
2018,307.15,-0.01425,0.01194,-0.00413,0.01691,-0.00114,12823479.00,0.01994,1
2018,302.00,0.01994,-0.01425,0.01194,-0.00413,0.01691,5825628.00,-0.01068,0
2018,303.25,-0.01068,0.01994,-0.01425,0.01194,-0.00413,8199623.00,0.02692,1
2018,299.65,0.02692,-0.01068,0.01994,-0.01425,0.01194,6150336.00,-0.00051,0
2018,303.95,-0.00051,0.02692,-0.01068,0.01994,-0.01425,16337218.00,-0.01506,0
2018,297.95,-0.01506,-0.00051,0.02692,-0.01068,0.01994,14452668.00,0.00219,1
2018,301.15,0.00219,-0.01506,-0.00051,0.02692,-0.01068,13273933.00,0.00642,1
2018,293.15,0.00642,0.00219,-0.01506,-0.00051,0.02692,19891787.00,0.02782,1
2018,293.30,0.02782,0.00642,0.00219,-0.01506,-0.00051,12084852.00,0.03762,1
2018,297.75,0.03762,0.02782,0.00642,0.00219,-0.01506,24606864.00,0.01201,1
2018,297.10,0.01201,0.03762,0.02782,0.00642,0.00219,9025533.00,0.01735,1
2018,295.20,0.01735,0.01201,0.03762,0.02782,0.00642,7570160.00,-0.00594,0
2018,287.10,-0.00594,0.01735,0.01201,0.03762,0.02782,8105763.00,0.01831,1
2018,276.50,0.01831,-0.00594,0.01735,0.01201,0.03762,17622969.00,-0.03701,0
2018,273.20,-0.03701,0.01831,-0.00594,0.01735,0.01201,16430487.00,-0.02618,0
2018,268.50,-0.02618,-0.03701,0.01831,-0.00594,0.01735,10540674.00,-0.00053,0
2018,270.10,-0.00053,-0.02618,-0.03701,0.01831,-0.00594,11479650.00,-0.01335,0
2018,265.20,-0.01335,-0.00053,-0.02618,-0.03701,0.01831,10609934.00,-0.01042,0
2018,275.20,-0.01042,-0.01335,-0.00053,-0.02618,-0.03701,13425871.00,0.00329,1
2018,282.50,0.00329,-0.01042,-0.01335,-0.00053,-0.02618,17933322.00,0.00870,1
2018,282.65,0.00870,0.00329,-0.01042,-0.01335,-0.00053,11867994.00,-0.00610,0
2018,286.45,-0.00610,0.00870,0.00329,-0.01042,-0.01335,15307324.00,0.00070,1
2018,289.45,0.00070,-0.00610,0.00870,0.00329,-0.01042,8032126.00,0.02340,1
